x,y,elev,slope,aspect,ndvi,bio,sm,tem,pre,lst
89.0316,27.8791,4856,1.56197,182.102,0.333,741.76,2955,-1.3,3015,0
86.5233,28.0446,5245,6.17765,220.034,-0.017,-9999,2477,-6.933333333333333,3548,0
89.1575,28.0727,4925,5.20113,214.934,0.1592,529.115,2615,-0.4583333333333333,2684,23.419999999999998
91.0001,28.1073,3483,3.18368,153.723,0.41,1868.4,2807,6.208333333333334,5806,0
88.5648,28.1226,5109,11.4193,356.026,0.1946,534.014,2896,-2.775,2580,0
91.1033,28.1741,3951,6.07027,211.934,0.4444,1172.85,2556,5.383333333333334,4725,0
85.8011,28.2107,5136,26.6299,24.0539,-0.0195,-9999,2121,-7.691666666666667,3747,26.564
91.1445,28.2178,4905,12.0101,78.3732,0.1944,755.108,2629,-0.9083333333333334,3717,0
91.2439,28.2371,4894,21.0202,255.86,0.2652,-9999,2817,1.1,3673,0
89.5511,28.2606,4638,4.13617,99.2507,0.1178,611.142,2540,0.8583333333333334,2617,30.580000000000002
85.8233,28.2769,5337,16.0117,101.33,0.095,574.356,2372,-7.341666666666667,3404,27.374000000000002
87.596,28.2778,5700,5.38591,302.658,0.0602,-9999,2249,-8.8,2405,28.098000000000003
88.7493,28.2886,4680,6.43355,202.898,0.2072,549.4,2573,-0.08333333333333334,2569,0
87.9376,28.3087,5377,11.0442,346.142,0.1542,-9999,2519,-4.475,2500,29.689999999999998
86.0413,28.3203,4164,2.31349,281.24,0.2639,710.207,2381,3.6916666666666664,5364,30.028
88.6623,28.321,4677,4.54184,227.296,0.1866,594.336,2650,0.6,2715,6.938
87.5579,28.333,4611,15.8558,8.70782,0.1604,650.729,2561,-1.325,3553,29.348000000000003
89.1131,28.3446,4786,5.21847,72.805,0.1245,521.635,2691,-0.075,2429,7.252
88.561,28.378,4554,2.74108,24.6916,0.1604,648.224,2382,1.3583333333333334,2886,0
86.2919,28.4081,5738,1.54027,26.2077,0.0462,-9999,2801,-8.833333333333332,2691,29.166000000000004
87.6859,28.4261,4200,6.29356,341.976,0.1501,861.577,2090,2.966666666666667,4918,30.683999999999997
86.5353,28.4524,4871,9.66521,324.922,0.171,669.67,2589,0.6583333333333333,4013,30.886000000000003
88.148,28.4962,4687,6.02848,34.292,0.1715,632.674,2541,-0.15,2970,30.758
86.7419,28.5294,4694,10.5116,341.297,0.1898,768.799,2761,0.1,3689,29.733999999999998
90.0389,28.5356,4874,4.89606,183.514,0.1197,537.464,2750,-1.8,2541,29.369999999999997
90.8335,28.6047,5258,7.93189,313.837,0.2721,-9999,2751,-3.066666666666667,3050,28.474
86.5867,28.6246,4414,6.50529,151.019,0.3349,662.102,2805,2.816666666666667,4697,30.104000000000003
87.8486,28.6255,4231,0.480322,249.944,0.1337,1011.83,2349,3.2083333333333335,4694,31.327999999999996
87.0158,28.6456,4504,11.9167,195.987,0.1229,646.822,2339,0.7916666666666667,3897,30.992
88.7596,28.6573,4931,8.48173,53.1781,0.2757,648.711,2770,-1.5166666666666666,2290,29.552
85.7438,28.6603,4828,1.42038,356.532,0.1085,639.18,2231,-0.6333333333333333,3631,30.032
90.072,28.6836,5385,5.5341,338.665,0.1484,-9999,2797,-4.55,2402,11.676
88.4002,28.7013,5560,1.53947,226.131,0.1193,532.847,2510,-6.775,1980,13.382
90.2159,28.7042,5336,3.24692,253.881,0.1069,817.575,2884,-4.208333333333334,2579,0
89.6632,28.7118,4608,19.4825,344.255,0.1621,684.381,2706,0.8,2509,29.562
90.3408,28.7277,4739,2.95159,87.2208,0.2654,782.048,2917,0,2867,29.35
89.4589,28.754,4600,8.37798,47.9586,0.18,523.774,2814,-0.075,2437,30.048000000000002
86.2421,28.7814,4757,8.7476,319.283,0.1406,742.142,2774,-0.09166666666666666,3348,30.98
88.6782,28.7852,4996,2.27862,31.6429,0.2359,813.846,2909,-1.7166666666666668,2268,29.637999999999998
84.8933,28.8006,5748,15.2713,199.497,0.0067,-9999,2868,-6.041666666666666,3306,0
85.1881,28.8214,4980,9.38675,1.55986,0.096,-9999,2335,-1.4833333333333334,3420,0
89.5289,28.827,4305,4.70583,3.91825,0.1812,712.063,2380,3.5083333333333337,2769,29.044
85.999,28.8311,5208,6.16979,192.895,0.1481,-9999,2479,-2.8666666666666667,2894,30.857999999999997
89.3174,28.8606,4357,6.22121,290.471,0.2382,682.067,2893,3.075,2774,30.256
88.1884,28.8904,5189,6.76349,350.965,0.2703,895.232,2788,-3.058333333333333,2245,30.133999999999997
84.3466,28.8966,5496,4.06546,53.1503,0.0115,-9999,2684,-9.841666666666667,3359,28.433999999999997
91.0835,28.9001,4524,4.47728,307.346,0.2269,-9999,2908,1.1083333333333334,3241,0
88.9841,28.9005,4440,1.18587,217.147,0.1863,-9999,2759,2.458333333333333,2781,29.688
84.3995,28.9075,6076,0.985709,139.715,0.0565,-9999,2156,-12.291666666666668,3048,28.926
91.2177,28.9352,4662,2.65427,214.676,0.2347,-9999,2716,1.6916666666666669,3254,0
85.9383,28.9472,5710,5.77139,309.379,0.0729,595.372,2314,-8.775,2346,27.932
85.7535,29.0083,5200,7.75104,325.93,0.1357,745.016,2857,-4.175,2701,25.48
91.0324,29.0299,5186,10.162,221.438,0.2323,825.31,2853,-1.0916666666666666,3157,28.996
88.2337,29.0345,4431,4.32886,188.451,0.2447,604.677,2802,2.6,3452,30.951999999999998
89.7561,29.0987,4878,4.77768,261.918,0.3306,847.202,2910,-1.9416666666666669,2541,28.594
84.2509,29.1118,5069,6.42232,38.779,0.0338,-9999,2747,-3.45,3296,0
88.4615,29.1871,3961,1.59932,196.65,0.1179,1012.73,2475,5.366666666666666,4238,31.182
91.03,29.1923,4318,8.3964,79.7559,0.3734,973.242,2682,2.925,3470,11.524
86.5858,29.1931,4643,13.127,344.071,0.1942,735.573,2631,1.825,3413,0
88.5794,29.2303,4462,5.43731,92.032,0.2717,757.682,2772,2.225,3069,31.198
86.6056,29.2337,4715,12.2674,102.99,0.1595,735.888,2814,1.0166666666666666,3164,26.112000000000002
90.3413,29.2723,5643,15.3976,152.598,0.138,-9999,2543,-5.683333333333334,2797,28.038
87.7001,29.2915,4637,13.185,167.395,0.2151,761.586,2878,0.3,3059,16.14
86.6313,29.297,4533,7.51816,143.163,0.1294,706.723,2782,1.4166666666666665,3150,0
86.2299,29.2971,5138,2.66512,22.9158,0.1514,653.944,2807,-2.15,2434,0
89.2485,29.309,4109,5.22231,358.668,0.2023,620.941,2358,3.8916666666666666,3602,31.136000000000003
85.7702,29.324,4898,10.6434,187.376,0.1237,660.475,2764,-0.6833333333333333,2604,0
90.5048,29.3248,4427,15.0859,125.982,0.4367,1356.68,2738,3.1333333333333333,3605,0
85.6004,29.3394,4947,7.61622,103.075,0.1512,662.2,2752,-1.55,2481,0
90.8664,29.3539,3785,12.9011,20.7098,0.2425,810.263,2232,6.675,4055,30.494
86.8669,29.4048,4701,1.64316,183.748,0.2075,716.079,2643,0.6666666666666667,2905,11.962
89.8253,29.4532,5436,6.53809,87.4996,0.3216,456.259,2807,-6.841666666666667,2534,0
83.5525,29.4571,4996,2.03345,96.8748,0.1271,564.688,2270,-3.025,3577,29.672000000000004
89.1839,29.4652,4534,9.58255,261.57,0.454,901.959,2781,2.375,3361,1.09
86.2839,29.4754,5057,8.95422,349.902,0.1911,639.913,2697,-2.416666666666667,2250,2.9859999999999998
88.5674,29.5042,4455,5.26803,209.658,0.2009,886.033,2875,2.6416666666666666,3367,24.408
88.3916,29.5581,5474,3.08708,258.638,0.174,-9999,2531,-4.341666666666667,2129,28.948
86.8117,29.6248,5463,6.88829,192.915,0.1083,-9999,2543,-6.4833333333333325,1804,28.754
87.6693,29.6324,4184,4.80642,348.857,0.166,793.636,2829,4.341666666666667,4218,0
