x,y,elev,ndvi,bio,sm,tem,pre
89.0316,27.8791,4856,0.333,741.76,2955,-1.3,3015
86.5233,28.0446,5245,-0.017,-9999,2477,-6.933333333333333,3548
89.1575,28.0727,4925,0.1592,529.115,2615,-0.4583333333333333,2684
91.0001,28.1073,3483,0.41,1868.4,2807,6.208333333333334,5806
88.5648,28.1226,5109,0.1946,534.014,2896,-2.775,2580
91.1033,28.1741,3951,0.4444,1172.85,2556,5.383333333333334,4725
85.8011,28.2107,5136,-0.0195,-9999,2121,-7.691666666666667,3747
91.1445,28.2178,4905,0.1944,755.108,2629,-0.9083333333333334,3717
91.2439,28.2371,4894,0.2652,-9999,2817,1.1,3673
89.5511,28.2606,4638,0.1178,611.142,2540,0.8583333333333334,2617
85.8233,28.2769,5337,0.095,574.356,2372,-7.341666666666667,3404
87.596,28.2778,5700,0.0602,-9999,2249,-8.8,2405
88.7493,28.2886,4680,0.2072,549.4,2573,-0.08333333333333334,2569
87.9376,28.3087,5377,0.1542,-9999,2519,-4.475,2500
86.0413,28.3203,4164,0.2639,710.207,2381,3.6916666666666664,5364
88.6623,28.321,4677,0.1866,594.336,2650,0.6,2715
87.5579,28.333,4611,0.1604,650.729,2561,-1.325,3553
89.1131,28.3446,4786,0.1245,521.635,2691,-0.075,2429
88.561,28.378,4554,0.1604,648.224,2382,1.3583333333333334,2886
86.2919,28.4081,5738,0.0462,-9999,2801,-8.833333333333332,2691
87.6859,28.4261,4200,0.1501,861.577,2090,2.966666666666667,4918
86.5353,28.4524,4871,0.171,669.67,2589,0.6583333333333333,4013
88.148,28.4962,4687,0.1715,632.674,2541,-0.15,2970
86.7419,28.5294,4694,0.1898,768.799,2761,0.1,3689
90.0389,28.5356,4874,0.1197,537.464,2750,-1.8,2541
90.8335,28.6047,5258,0.2721,-9999,2751,-3.066666666666667,3050
86.5867,28.6246,4414,0.3349,662.102,2805,2.816666666666667,4697
87.8486,28.6255,4231,0.1337,1011.83,2349,3.2083333333333335,4694
87.0158,28.6456,4504,0.1229,646.822,2339,0.7916666666666667,3897
88.7596,28.6573,4931,0.2757,648.711,2770,-1.5166666666666666,2290
85.7438,28.6603,4828,0.1085,639.18,2231,-0.6333333333333333,3631
90.072,28.6836,5385,0.1484,-9999,2797,-4.55,2402
88.4002,28.7013,5560,0.1193,532.847,2510,-6.775,1980
90.2159,28.7042,5336,0.1069,817.575,2884,-4.208333333333334,2579
89.6632,28.7118,4608,0.1621,684.381,2706,0.8,2509
90.3408,28.7277,4739,0.2654,782.048,2917,0,2867
89.4589,28.754,4600,0.18,523.774,2814,-0.075,2437
86.2421,28.7814,4757,0.1406,742.142,2774,-0.09166666666666666,3348
88.6782,28.7852,4996,0.2359,813.846,2909,-1.7166666666666668,2268
84.8933,28.8006,5748,0.0067,-9999,2868,-6.041666666666666,3306
85.1881,28.8214,4980,0.096,-9999,2335,-1.4833333333333334,3420
89.5289,28.827,4305,0.1812,712.063,2380,3.5083333333333337,2769
85.999,28.8311,5208,0.1481,-9999,2479,-2.8666666666666667,2894
89.3174,28.8606,4357,0.2382,682.067,2893,3.075,2774
88.1884,28.8904,5189,0.2703,895.232,2788,-3.058333333333333,2245
84.3466,28.8966,5496,0.0115,-9999,2684,-9.841666666666669,3359
91.0835,28.9001,4524,0.2269,-9999,2908,1.1083333333333334,3241
88.9841,28.9005,4440,0.1863,-9999,2759,2.458333333333333,2781
84.3995,28.9075,6076,0.0565,-9999,2156,-12.291666666666668,3048
91.2177,28.9352,4662,0.2347,-9999,2716,1.6916666666666669,3254
85.9383,28.9472,5710,0.0729,595.372,2314,-8.775,2346
85.7535,29.0083,5200,0.1357,745.016,2857,-4.175,2701
91.0324,29.0299,5186,0.2323,825.31,2853,-1.0916666666666666,3157
88.2337,29.0345,4431,0.2447,604.677,2802,2.6,3452
89.7561,29.0987,4878,0.3306,847.202,2910,-1.9416666666666669,2541
84.2509,29.1118,5069,0.0338,-9999,2747,-3.45,3296
88.4615,29.1871,3961,0.1179,1012.73,2475,5.366666666666666,4238
91.03,29.1923,4318,0.3734,973.242,2682,2.925,3470
86.5858,29.1931,4643,0.1942,735.573,2631,1.825,3413
88.5794,29.2303,4462,0.2717,757.682,2772,2.225,3069
