xvar,yvar,pcc,sig
tem,tem,1,-0
tem,pre,0.7197125783904763,1.76915e-318
tem,sm,0.6095371181433756,8.885715685166984e-204
tem,elev,-0.8593700114953639,0
tem,npp,0.8614759313605924,0
pre,tem,0.7197125783904763,5.89717e-319
pre,pre,1,-0
pre,sm,0.8519056100137418,0
pre,elev,-0.7614554969793704,0
pre,npp,0.8184702245826021,0
sm,tem,0.6095371181433756,8.885715685166984e-204
sm,pre,0.8519056100137418,0
sm,sm,1,-0
sm,elev,-0.6683879063501107,8.161822998361851e-259
sm,npp,0.7546784392037498,0
elev,tem,-0.8593700114953639,0
elev,pre,-0.7614554969793704,0
elev,sm,-0.6683879063501107,4.0809114991809253e-259
elev,elev,1,-0
elev,npp,-0.8836718488362422,0
npp,tem,0.8614759313605924,0
npp,pre,0.8184702245826021,0
npp,sm,0.7546784392037498,0
npp,elev,-0.8836718488362422,0
npp,npp,1,-0
