x,y,z
2639.625,2705.9,2624
2521.125,2480.125,2625.705882352941
2682.125,2705.9,2624
2792.375,2625.75,2750.5882352941176
2647.125,2617.1,2591.5833333333335
2789.125,2605.5714285714284,2766.8947368421054
2542.625,2632.3,2537.181818181818
2780,2605.5714285714284,2766.8947368421054
2756.5,2605.5714285714284,2766.8947368421054
2713.5,2726.5454545454545,2682.7
2525.25,2621.1,2537.181818181818
2493.5,2664,2643.0434782608695
2733.5,2689.4,2606.230769230769
2447.25,2694,2703.625
2480.5,2672.714285714286,2567.5
2659,2643.923076923077,2620.923076923077
2454.5,2664,2643.0434782608695
2662.375,2731.909090909091,2608.6666666666665
2692.5,2643.923076923077,2620.923076923077
2535,2525.285714285714,2589.153846153846
2482,2711,2653.0434782608695
2602.125,2459.909090909091,2618.5
2523,2642.5833333333335,2739.6153846153848
2599.625,2511.375,2567.6666666666665
2743.5,2711,2681.6363636363635
2775.375,2712.4666666666667,2644.842105263158
2594.375,2529.764705882353,2526.75
2507.5,2669.3636363636365,2697.7368421052633
2560.875,2567.722222222222,2612.4117647058824
2670.875,2682.285714285714,2657.076923076923
2515.5,2666.25,2610.9
2737.625,2711,2681.6363636363635
2664.625,2658.769230769231,2625.6111111111113
2719.25,2695.4117647058824,2700.3684210526317
2746,2716.6,2675.818181818182
2759.875,2665.3529411764707,2710.3529411764707
2709.5,2690.6666666666665,2677.9375
2557.125,2585,2533.0833333333335
2657.25,2654.785714285714,2649.1052631578946
2573.5,2491.8,2583.2272727272725
2560.375,2564,2587.181818181818
2748.375,2735.3636363636365,2669.0526315789475
2623.875,2607.6923076923076,2529
2673.5,2683.9375,2711.3125
2641,2619,2659.529411764706
2522.875,2528.1666666666665,2482.2083333333335
2614.625,2718.5384615384614,2690.9473684210525
2671.375,2695.9411764705883,2733.222222222222
2588.875,2528.1666666666665,2482.2083333333335
2716.75,2688.153846153846,2678.842105263158
2686.25,2568.3846153846152,2584.6666666666665
2618.375,2568.3846153846152,2584.6666666666665
2617.125,2734.4615384615386,2715.15
2651.5,2588.9333333333334,2642.8888888888887
2662.25,2699.866666666667,2706.6666666666665
2456.25,2533.529411764706,2474.846153846154
2740.625,2650.769230769231,2643.3478260869565
2620.375,2744.5,2703.75
2710.25,2537.230769230769,2569.1111111111113
2734.625,2643.2,2646.12
2687.375,2537.230769230769,2569.1111111111113
2735.375,2658.4736842105262,2760.7586206896553
2662,2659.375,2604.72
2691.375,2537.230769230769,2569.1111111111113
2667.25,2603.090909090909,2540.285714285714
2764.5,2712.7894736842104,2699.233333333333
2664.25,2585,2488.1428571428573
2669.125,2672.4375,2756.266666666667
2665.75,2585,2488.1428571428573
2691.25,2756.181818181818,2693.551724137931
2652.625,2601,2650.090909090909
2664,2742.625,2706.2916666666665
2553,2405.8333333333335,2481.318181818182
2744.25,2721.7083333333335,2673.551724137931
2653.625,2634.9166666666665,2525.6666666666665
2655.625,2722.3333333333335,2651.029411764706
2772.375,2640.2,2600
2623.625,2616.4166666666665,2590.923076923077
2669.25,2627.090909090909,2660.6666666666665
2708.5,2561.3333333333335,2516.2105263157896
2368,2401.3636363636365,2421.294117647059
2660.25,2536.9166666666665,2599.5833333333335
2705.625,2688.764705882353,2624.1
2643.125,2673.1428571428573,2605.235294117647
2600.75,2742.0526315789475,2710.266666666667
